journal,year,volume,issue,type,title,doi
Journal of Experimental Political Science,2026,13,2,Replication Study,Life-or-Death Framing of Public-Health Policy in a Pandemic,10.1017/XPS.2025.7
Journal of Experimental Political Science,2026,13,2,Research Article,Pro-equality initiatives increase expressed sexism among men but may improve trust among women football fans,10.1017/XPS.2025.10009
Journal of Experimental Political Science,2026,13,2,Research Article,Immigration is difficult?! Informing voters about immigration policy fosters pro-immigration views,10.1017/XPS.2024.21
Journal of Experimental Political Science,2026,13,2,Research Article,International Reputation Costs and Assurances: A Case of East Asia,10.1017/xps.2025.10005
Journal of Experimental Political Science,2026,13,2,Research Article,"Debunking NIMBY Myths Increases Support for Affordable Housing, Especially Near Respondents’ Homes",10.1017/XPS.2025.10014
Journal of Experimental Political Science,2026,13,2,Research Article,Americans’ Perceptions About Immigrants from Different World Regions: Evidence from a Multinomial Conjoint Experiment,10.1017/XPS.2025.5
Journal of Experimental Political Science,2026,13,2,Research Article,Balanced Messaging about Solar Geoengineering does not Reduce Average Support for Emissions Reductions,10.1017/XPS.2025.10017
Journal of Experimental Political Science,2026,13,2,Research Article,Voter Preferences for Ethnoracial Minority Candidates: The Role of Policy Alignment and Shared Identity,10.1017/XPS.2025.1
Journal of Experimental Political Science,2026,13,1,Research Article,Can Monuments to Victims Increase Tolerance?,10.1017/XPS.2025.10022
Journal of Experimental Political Science,2026,13,1,Research Article,No One Mourns the Wicked: The Limits of Partisan Hostility Persisting through Tragedy,10.1017/XPS.2025.10019
Journal of Experimental Political Science,2026,13,1,Research Article,"What Drives Perceptions of the Political in Online Advertising?: The Source, Content, and Political Orientation",10.1017/XPS.2025.4
Journal of Experimental Political Science,2026,13,1,Research Article,Exposure to Online Abuse of Politicians Does Not Scare Citizens Away From Politics,10.1017/XPS.2024.20
Journal of Experimental Political Science,2026,13,1,Research Article,Solidarity Between People of Color: Two Blockage Experiments Suggest It Is Causal and Resistant to a Divisive Threat,10.1017/XPS.2025.3
Journal of Experimental Political Science,2026,13,1,Preregistered Report,How Language Shapes Belief in Misinformation: A Study Among Multilinguals in Ukraine,10.1017/XPS.2025.10011
Journal of Experimental Political Science,2026,13,1,Preregistered Report,Can Politicians Say That? What Shapes Public Responses to Speech Scandals,10.1017/XPS.2025.10010
Journal of Experimental Political Science,2026,13,1,Preregistered Report,A Registered Report on Place-Based Resentment: Exploring Urban-Rural Tensions in Sweden,10.1017/XPS.2025.10021
Journal of Experimental Political Science,2026,13,1,Correction,Partisanship Unmasked? The Role of Politics and Social Norms in COVID-19 Mask-Wearing Behavior – CORRIGENDUM,10.1017/XPS.2025.10016
Journal of Experimental Political Science,2026,13,1,Corrigendum,The Effects of Unsubstantiated Claims of Voter Fraud on Confidence in Elections – CORRIGENDUM,10.1017/XPS.2025.10020
Journal of Experimental Political Science,2025,12,3,Research Article,Level Up! Priming Hobbyist Political Identity Using Survey Experiment,10.1017/XPS.2024.9
Journal of Experimental Political Science,2025,12,3,Research Article,Are Goodwill Ambassadors Good for Business? The Impact of Celebrities on International Organization Fundraising,10.1017/XPS.2024.6
Journal of Experimental Political Science,2025,12,3,Research Article,Hometown Advantage: Voter Preferences for Community Embeddedness in Local Contests,10.1017/XPS.2024.16
Journal of Experimental Political Science,2025,12,3,Research Article,"We Only Care What You Do, Not Who You Are: Reexamining Human Rights and Public Support for War",10.1017/XPS.2024.19
Journal of Experimental Political Science,2025,12,3,Research Article,"Same-Sex Schooling, Political Participation, and Gender Attitudes? Evidence from a Natural Experiment in South Korea",10.1017/XPS.2025.6
Journal of Experimental Political Science,2025,12,3,Research Article,Introducing ReChat: A Lab-in-the-Cloud for Text Discussions,10.1017/XPS.2024.18
Journal of Experimental Political Science,2025,12,3,Preregistered Report,"Status Threat, Partisanship, and Voters’ Conservative Shift Toward Right-Wing Candidates",10.1017/XPS.2025.10006
Journal of Experimental Political Science,2025,12,2,Research Article,Triangulating the Relationship Between Education and Attitudes Toward Immigration,10.1017/XPS.2024.7
Journal of Experimental Political Science,2025,12,2,Research Article,Judges Behaving Badly: Judicial Misconduct and a Threat to Rights,10.1017/XPS.2024.8
Journal of Experimental Political Science,2025,12,2,Research Article,Is a Picture Worth 280 Characters?: Contextually Realistic Graphics vs. Plain Text in Survey Experiments,10.1017/XPS.2024.10
Journal of Experimental Political Science,2025,12,2,Research Article,Transparent Corruption: The Effect of Illicit Connections and Trusted References on the Demand for Bureaucratic Intermediation,10.1017/XPS.2024.13
Journal of Experimental Political Science,2025,12,2,Research Article,Vulnerability Appeals in the COVID-19 Pandemic: Insights from a National Survey Experiment,10.1017/XPS.2024.14
Journal of Experimental Political Science,2025,12,2,Replication Study,Empathic Concern and Perspective-Taking Have Opposite Effects on Affective Polarization,10.1017/XPS.2024.17
Journal of Experimental Political Science,2025,12,1,Research Article,The neural mechanisms of race priming in American politics,10.1017/XPS.2024.12
Journal of Experimental Political Science,2025,12,1,Research Article,Incentivizing Responses in International Organization Elite Surveys: Evidence from the World Bank,10.1017/XPS.2023.39
Journal of Experimental Political Science,2025,12,1,Research Article,When Do Voters See Fraud? Evaluating the Effects of Poll Supervision on Perceptions of Integrity,10.1017/XPS.2024.5
Journal of Experimental Political Science,2025,12,1,Research Article,Going Negative in Autocracy: A Field Experiment at the Moscow Mayoral Elections,10.1017/XPS.2024.11
Journal of Experimental Political Science,2025,12,1,Research Article,"Introducing the Visual Conjoint, with an Application to Candidate Evaluation on Social Media",10.1017/XPS.2024.15
Journal of Experimental Political Science,2025,12,1,Research Article,The Way She Moves: Political Repositioning and Gender Stereotypes,10.1017/XPS.2024.4
Journal of Experimental Political Science,2025,12,1,Research Article,Public Responses to Unilateral Policymaking,10.1017/XPS.2024.3
Journal of Experimental Political Science,2025,12,1,Research Article,"(Small D-democratic) vacation, all I ever wanted? The effect of democratic backsliding on leisure travel in the American states",10.1017/XPS.2023.40
Journal of Experimental Political Science,2025,12,1,Research Article,More than meets the ITT: A guide for anticipating and investigating nonsignificant results in survey experiments,10.1017/XPS.2024.1
Journal of Experimental Political Science,2025,12,1,Replication Study,Measuring Support for Welfare Policies: Implications for the Effects of Race and Deservingness Stereotypes,10.1017/XPS.2023.31
Journal of Experimental Political Science,2024,11,3,Research Article,Inoculation Reduces Misinformation: Experimental Evidence from Multidimensional Interventions in Brazil,10.1017/XPS.2023.11
Journal of Experimental Political Science,2024,11,3,Research Article,Why Do People Use Informal Justice? Experimental Evidence from Kosovo,10.1017/XPS.2023.18
Journal of Experimental Political Science,2024,11,3,Research Article,Testing the Effect of Information on Discerning the Veracity of News in Real Time,10.1017/XPS.2023.20
Journal of Experimental Political Science,2024,11,3,Research Article,Paying for growth or goods: Tax morale among property owners in Lagos,10.1017/XPS.2023.27
Journal of Experimental Political Science,2024,11,3,Research Article,Police Shooting Statistics and Public Support for Police Reforms,10.1017/XPS.2023.30
Journal of Experimental Political Science,2024,11,3,Research Article,Combating Hateful Attitudes and Online Browsing Behavior: The Case of Antisemitism,10.1017/XPS.2023.32
Journal of Experimental Political Science,2024,11,3,Research Article,(How) Do Information Campaigns Influence Migration Decisions?,10.1017/XPS.2023.36
Journal of Experimental Political Science,2024,11,3,Research Article,Public Health Communication Reduces COVID-19 Misinformation Sharing and Boosts Self-Efficacy,10.1017/XPS.2024.2
Journal of Experimental Political Science,2024,11,3,Research Article,Inaccurate forecasting of a randomized controlled trial,10.1017/XPS.2023.28
Journal of Experimental Political Science,2024,11,3,Replication Study,It Matters What and Where We Measure: Education and Ideology in a Swedish Twin Design,10.1017/XPS.2023.34
Journal of Experimental Political Science,,,,Short Report,Guest Editor Introduction to a Special Issue in Honor of Becky Morton,10.1017/XPS.2023.33
Journal of Experimental Political Science,,,,Research Article,Ranking Candidates in Local Elections: Neither Panacea nor Catastrophe for Candidates of Color,10.1017/XPS.2023.6
Journal of Experimental Political Science,,,,Research Article,Information Transmission in a Social Network: A Field Experiment,10.1017/XPS.2023.21
Journal of Experimental Political Science,,,,Research Article,A Practical Guide to Dealing with Attrition in Political Science Experiments,10.1017/XPS.2023.22
Journal of Experimental Political Science,,,,Research Article,Assessing the Validity of Prevalence Estimates in Double List Experiments,10.1017/XPS.2023.24
Journal of Experimental Political Science,,,,Research Article,Making sense of voting “habits”: Applying the process model of behavior change to a series of large-scale get-out-the-vote experiments,10.1017/XPS.2023.25
Journal of Experimental Political Science,,,,Research Article,Experimental Methods for Measuring Social Networks without Censoring,10.1017/XPS.2023.23
Journal of Experimental Political Science,,,,Research Article,Recognition probability in legislative bargaining,10.1017/XPS.2023.26
Journal of Experimental Political Science,,,,Research Article,Discussion and Fairness in a Laboratory Voting Experiment,10.1017/XPS.2023.29
Journal of Experimental Political Science,,,,Addendum,Discussion and Fairness in a Laboratory Voting Experiment – ADDENDUM,10.1017/XPS.2023.35
Journal of Experimental Political Science,2024,11,1,Preregistered Report,The Politicization of COVID-19 and Anti-Asian Racism in the United States: An Experimental Approach,10.1017/XPS.2023.16
Journal of Experimental Political Science,2024,11,1,Research Article,Does Interacting with Women Encourage Civic and Prosocial Attitudes? Evidence from Simulated Contact Experiments in Saudi Arabia and Kuwait,10.1017/XPS.2023.15
Journal of Experimental Political Science,2024,11,1,Research Article,Null Effects of Pro-Democracy Speeches by U.S. Republicans in the Aftermath of January 6th,10.1017/XPS.2023.17
Journal of Experimental Political Science,2024,11,1,Research Article,Using Citizen Voice to Evaluate Experiments on Politicians: A UK Survey Experiment,10.1017/XPS.2023.3
Journal of Experimental Political Science,2024,11,1,Research Article,Corruption and Political Support: The Case of Peru’s Vacuna-gate Scandal,10.1017/XPS.2023.7
