"title","sjr","issn","publisher","rank"
"American Journal of Political Science",6.539,"00925853, 15405907","Wiley-Blackwell Publishing Ltd",1
"American Political Science Review",5.433,"15375943, 00030554","Cambridge University Press",2
"Political Analysis",4.368,"10471987, 14764989","Cambridge University Press",3
"International Security",4.166,"15314804, 01622889","MIT Press",4
"Comparative Political Studies",3.796,"15523829, 00104140","SAGE Publications Inc.",5
"British Journal of Political Science",3.576,"00071234, 14692112","Cambridge University Press",6
"World Politics",3.565,"00438871, 10863338","Johns Hopkins University Press",7
"Journal of Politics",3.492,"14682508, 00223816","University of Chicago Press",8
"European Journal of Political Research",3.432,"03044130, 14756765","Wiley-Blackwell Publishing Ltd",9
"Journal of Democracy",3.142,"10455736, 10863214","Johns Hopkins University Press",10
"International Organization",3.041,"15315088, 00208183","Cambridge University Press",11
"Political Behavior",2.955,"01909320, 15736687","Springer New York",12
"Perspectives on Politics",2.923,"15375927, 15410986","Cambridge University Press",13
"West European Politics",2.643,"01402382, 17439655","Routledge",14
"Political Science Research and Methods",2.574,"20498470, 20498489","Cambridge University Press",15
"Review of International Political Economy",2.508,"09692290, 14664526","Routledge",16
"Legislative Studies Quarterly",2.314,"03629805, 19399162","Wiley-Blackwell",17
"Journal of Peace Research",2.298,"00223433, 14603578","SAGE Publications Ltd",18
"Contemporary Security Policy",2.222,"17438764, 13523260","Routledge",19
"Journal of European Public Policy",2.219,"14664429, 13501763","Routledge",20
"Review of International Organizations",2.208,"1559744X, 15597431","Springer",21
"Philosophy and Public Affairs",2.204,"10884963, 00483915","Wiley-Blackwell Publishing Ltd",22
"Public Opinion Quarterly",2.191,"0033362X, 15375331","Oxford University Press",23
"Government and Opposition",2.172,"0017257X, 14777053","Cambridge University Press",24
"International Affairs",2.097,"14682346, 00205850","Wiley-Blackwell",25
"Electoral Studies",2.08,"02613794","Elsevier B.V.",26
"Journal of Experimental Political Science",2.016,"20522630, 20522649","Cambridge University Press",27
"Political Studies",1.989,"00323217, 14679248","SAGE Publications Ltd",28
"Political Psychology",1.938,"0162895X, 14679221","Wiley-Blackwell Publishing Ltd",29
"Party Politics",1.93,"13540688, 14603683","SAGE Publications Ltd",30
"Environmental Politics",1.9,"09644016, 17438934","Routledge",31
"Journal of Conflict Resolution",1.893,"15528766, 00220027","SAGE Publications Inc.",32
"Democratization",1.848,"13510347, 1743890X","Taylor and Francis Ltd.",33
"Politics and Gender",1.847,"1743923X, 17439248","Cambridge University Press",34
"New Political Economy",1.809,"14699923, 13563467","Routledge",35
"Journal of Common Market Studies",1.804,"14685965, 00219886","Wiley-Blackwell Publishing Ltd",36
"Quarterly Journal of Political Science",1.792,"15540634, 15540626","Now Publishers Inc",37
"European Journal of International Relations",1.776,"14603713, 13540661","SAGE Publications Ltd",38
"European Political Science Review",1.743,"17557739, 17557747","Cambridge University Press",39
"China Journal",1.736,"18358535, 13249347","University of Chicago Press",40
"China Quarterly",1.722,"03057410, 14682648","Cambridge University Press",41
"Geopolitics",1.708,"14650045, 15573028","Routledge",42
"Post-Soviet Affairs",1.707,"1060586X","Taylor and Francis Ltd.",43
"European Security",1.669,"17461545, 09662839","Taylor and Francis Ltd.",44
"Global Environmental Politics",1.646,"15263800","MIT Press",45
"International Studies Quarterly",1.643,"14682478, 00208833","Oxford University Press",46
"International Studies Review",1.62,"15219488, 14682486","Oxford University Press",47
"Review of International Studies",1.609,"14699044, 02602105","Cambridge University Press",48
"Political Research Quarterly",1.607,"1938274X, 10659129","SAGE Publications Inc.",49
"Political Geography",1.557,"09626298","Elsevier B.V.",50
"Security Studies",1.552,"15561852, 09636412","Routledge",51
"British Journal of Politics and International Relations",1.51,"13691481, 1467856X","SAGE Publications Inc.",52
"Journal of European Integration",1.503,"07036337, 14772280","Routledge",53
"Politics and Society",1.482,"00323292, 15527514","SAGE Publications Inc.",54
"Research and Politics",1.467,"20531680","SAGE Publications Ltd",55
"Journal of Chinese Political Science",1.415,"10806954, 18746357","Springer Netherlands",56
"Chinese Journal of International Politics",1.393,"17508924, 17508916","Oxford University Press",57
"Journal of Genocide Research",1.382,"14623528, 14699494","Taylor and Francis Ltd.",58
"European Union Politics",1.359,"17412757, 14651165","SAGE Publications Ltd",59
"International Political Science Review",1.344,"01925121, 1460373X","SAGE Publications Ltd",60
